1111,AAF9_BENI,TALLERES_Y_REUNIONES,TALLERES,A.1.2 - Área B,Talleres y reuniones de socialización de las propuestas de creación de APs en el Beni,1,"22187,34","22187,34"
1111,AAF9_BENI,VIAJES_AAF,COMBUSTIBLE,A.1.2 - Área B,Compra de combustible ,1,"12742,89","12742,89"
1111,AAF9_BENI,VIAJES_AAF,HOSPEDAJE NACIONAL,A.1.2 - Área B,Hospedaje de personal y de socios locales,1,"17551,43","17551,43"
1111,AAF9_BENI,VIAJES_AAF,PASAJES AÉREOS NACIONALES,A.1.2 - Área B,Compra de pasajes aéreos a Beni principalmente,1,12693,12693
1111,AAF9_BENI,VIAJES_AAF,PASAJES TERRESTRES NACIONALES,A.1.2 - Área B,Pasajes terrestres para personal y para socios locales,1,"27860,68","27860,68"
1111,AAF9_BENI,VIAJES_AAF,VIÁTICOS,A.1.2 - Área B,Viáticos de personal institucional y algún apoyo a socios locales,1,"19336,41","19336,41"
1131,AAF9_BENI,CONSULTORES_AAF,CONSULTOR 1,A2.3 / Área B,Creación de Áreas Protegidas en el Beni,1,0,0
1131,AAF_10,CONSULTORES_AAF,CONSULTOR 1,A1,Creación de Áreas Protegidas en el Beni,1,0,0
1132,RAINFOREST,CREACIÓN_DE_ÁREAS_PROTEGIDAS_RF,SUB GRANT,A5.2/11/11,Transferencias a CI,1,1964000,1964000
1211,RAINFOREST,SERVICIOS_PROFESIONALES_Y_DE_CONSULTORÍA_RF,CONSULTORES,A1.7 / 2 / 2.2,Elaboración de los reglamentos municipales de pesca ,1,"52403,71","52403,71"
1211,RAINFOREST,VIAJES_RF,COMBUSTIBLE,A1.7 / 7 / 7.1,Viajes para personal de ACEAA para los procesos de creación,1,0,0
1211,RAINFOREST,VIAJES_RF,VIÁTICOS,A1.7 / 7 / 7.1,Viajes para personal de ACEAA para los procesos de creación,1,0,0
1211,RAINFOREST,VIAJES_RF,PASAJES TERRESTRES NACIONALES,A1.7 / 7 / 7.1,Viajes para personal de ACEAA para los procesos de creación,1,"79,46","79,46"
1211,RAINFOREST,VIAJES_RF,PASAJES AÉREOS NACIONALES,A1.7 / 7 / 7.1,Viajes para personal de ACEAA para los procesos de creación,1,"79,46","79,46"
1211,RAINFOREST,VIAJES_RF,HOSPEDAJE NACIONAL,A1.7 / 7 / 7.1,Viajes para personal de ACEAA para los procesos de creación,1,0,0
1211,RAINFOREST,VIAJES_RF,ALQUILER DE VEHÍCULOS,A1.7 / 7 / 7.1,Viajes para personal de ACEAA para los procesos de creación,1,"118,52","118,52"
1211,RAINFOREST,VIAJES_RF,"PAGO PONTÓN, PEAJES, ETC",A1.7 / 7 / 7.1,Viajes para personal de ACEAA para los procesos de creación,1,"79,46","79,46"
1221,AAF_10,CONSULTORES_AAF,CONSULTOR 1,NN,Construcción de Zonificaciones de APs Beni,1,0,0
1221,RAINFOREST,SERVICIOS_PROFESIONALES_Y_DE_CONSULTORÍA_RF,CONSULTORES,A2.3 / ,Construcción de Zonificaciones de APs,1,150000,150000
1221,AAF9_PANDO,CONSULTORES_AAF,CONSULTOR 1,A2.4 / Area E / Pasajes Aéreos,Construcción de Zonificaciones de APs,1,28000,28000
1221,RAINFOREST,SERVICIOS_PROFESIONALES_Y_DE_CONSULTORÍA_RF,CONSULTORES,A2.1 / 2 / 2.6,Construcción de Zonificaciones de APs,1,62000,62000
1221,AAF9_PANDO,CONSULTORES_AAF,CONSULTOR 1,A2.2 / Area C / Talleres,Construcción de Zonificaciones de APs,1,20000,20000
1221,AAF9_PANDO,CONSULTORES_AAF,CONSULTOR 1,NN,Construcción de Zonificaciones de APs,1,30000,30000
1221,RE_WILD_2,CONSULTORES_REWILD,CONSULTORES,A1.1,Construcción de Zonificaciones de APs,1,130000,130000
1221,RAINFOREST,VIAJES_RF,PASAJES AÉREOS NACIONALES,A2.2 / 7 / 7.5,Construcción de Zonificaciones de APs,1,"1604,2","1604,2"
1221,RAINFOREST,VIAJES_RF,PASAJES TERRESTRES NACIONALES,A2.2 / 7 / 7.5,Construcción de Zonificaciones de APs,1,"1604,19","1604,19"
1221,RAINFOREST,VIAJES_RF,COMBUSTIBLE,A2.2 / 7 / 7.5,Construcción de Zonificaciones de APs,1,"1604,19","1604,19"
1221,RAINFOREST,VIAJES_RF,ALQUILER DE VEHÍCULOS,A2.2 / 7 / 7.5,Construcción de Zonificaciones de APs,1,"1604,19","1604,19"
1221,RAINFOREST,VIAJES_RF,"PAGO PONTÓN, PEAJES, ETC",A2.2 / 7 / 7.5,Construcción de Zonificaciones de APs,1,"1604,19","1604,19"
1221,RAINFOREST,VIAJES_RF,VIÁTICOS,A2.2 / 7 / 7.5,Construcción de Zonificaciones de APs,1,"1604,19","1604,19"
1221,RAINFOREST,VIAJES_RF,HOSPEDAJE NACIONAL,A2.2 / 7 / 7.5,Construcción de Zonificaciones de APs,1,"1604,19","1604,19"
1222,RAINFOREST,SERVICIOS_PROFESIONALES_Y_DE_CONSULTORÍA_RF,CONSULTORES,A2.1 / 2 / 2.6,Construcción de las Agendas Estratégicas de APs,1,200000,200000
1222,AAF9_PANDO,CONSULTORES_AAF,CONSULTOR 1,A1.1 / Area B / Talleres,Construcción de las Agendas Estratégicas de APs,1,15000,15000
1222,AAF9_PANDO,CONSULTORES_AAF,CONSULTOR 1,A2.2 / Area C / Talleres,Construcción de las Agendas Estratégicas de APs,1,20000,20000
1222,AAF9_PANDO,CONSULTORES_AAF,CONSULTOR 1,A2.4 / Area E / Pasajes Aéreos,Construcción de las Agendas Estratégicas de APs,1,30000,30000
1222,RAINFOREST,VIAJES_RF,PASAJES AÉREOS NACIONALES,A2.1 / 7 / 7.5,Construcción de las Agendas Estratégicas de APs,1,"112,77","112,77"
